aircraft,ap_from,ap_to,crew_deaths,crew_total,damage,datetime,fate,flightnumber,flightphase,ground_deaths,id,location,nature,operator,passenger_deaths,passenger_total,route,souls_deaths,souls_total,source,summary,type
?,,,,,,1908-09-17 17:18:00,,?,,,1920-1,"Fort Myer, Virginia",,Military - U.S. Army,,,Demonstration,,,planecrashinfo,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",Wright Flyer III
F-ALBO,,,,,,1920-12-24 00:00:00,,?,,,1920-51,"Barcelona, Spain",,Aeropostale,,,?,,,planecrashinfo,The aircraft stalled and crashed when an engine failed.,Breguet 14
G-EAMA,,,,,,1920-12-14 12:15:00,,?,,,1920-50,"London, England",,Handley Page Transport,,,London - Paris,,,planecrashinfo,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..,Handley Page HP-16
?,,,,,,1920-11-07 00:00:00,,?,,,1920-49,"Tie Siding, Wyoming",,US Aerial Mail Service,,,?,,,planecrashinfo,The aircraft crashed into a mountain in poor weather condtions.,De Havilland DH-4
76,,,,,,1920-10-15 00:00:00,,?,,,1920-48,"Batavia, Illinois",,US Aerial Mail Service,,,?,,,planecrashinfo,While attempting to land in fog the aircraft hit an obstruction and crashed.,De Havilland DH-4
F-ALTA,,,,,,1920-10-05 00:00:00,,?,,,1920-47,"Valencia, Spain",,Latecoere Airlines,,,?,,,planecrashinfo,While on a mail flight the plane crashed while attempting to land.,Breguet 14
F-ALAI,,,,,,1920-10-02 00:00:00,,?,,,1920-46,"Off Port Vendres, France",,Latecoere Airlines,,,?,,,planecrashinfo,Crashed into the Mediterranean while on a mail flight.,Salmson 2-A-2
316,,,,,,1920-09-27 00:00:00,,?,,,1920-45,"Hillersburg, Pennsylvania",,US Aerial Mail Service,,,?,,,planecrashinfo,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.,De Havilland DH-4
308,,,,,,1920-09-15 00:00:00,,?,,,1920-44,"Pemberville, Ohio",,US Aerial Mail Service,,,?,,,planecrashinfo,The pilot crashed after attempting to make an emergency landing after the engine caught fire.,Junkers F-13
305,,,,,,1920-09-01 00:00:00,,?,,,1920-43,"Morristown, New Jersey",,US Aerial Mail Service,,,?,,,planecrashinfo,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire.",Junkers JL-6
317,,,,,,1920-08-16 00:00:00,,?,,,1920-42,"College Park, Maryland",,US Aerial Mail Service,,,?,,,planecrashinfo,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames.",De Havilland DH-4
G-EALW,,,,,,1920-08-16 00:00:00,,?,,,1920-41,"Bedford, England",,By Air,,,?,,,planecrashinfo,The plane crashed during a cargo flight under unknown circumstances.,Armstrong-Whitworth F-K-8
204,,,,,,1920-06-06 00:00:00,,?,,,1920-39,"Cleveland, Ohio",,US Aerial Mail Service,,,?,,,planecrashinfo,The aircraft suffered engine failure and crashed shortly after taking off.,De Havilland DH-4
?,,,,,,1920-07-20 00:00:00,,?,,,1920-40,"Cartagena, Columbia",,Compañia Colombiana de Navegación Aérea,,,?,,,planecrashinfo,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.,Farman F-40
44,,,,,,1920-04-11 00:00:00,,?,,,1920-37,"Heller Field, New Jersey",,US Aerial Mail Service,,,?,,,planecrashinfo,The aircraft crashed while on approach for unknown reasons.,Curtiss JN-4H
79,,,,,,1920-05-12 00:00:00,,?,,,1920-38,"Oskaloosa, Iowa",,US Aerial Mail Service,,,?,,,planecrashinfo,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field.",De Havilland DH-4
49,,,,,,1920-04-10 00:00:00,,?,,,1920-36,"Newark, New Jersey",,US Aerial Mail Service,,,?,,,planecrashinfo,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.,Curtiss R-4LM
72,,,,,,1920-03-30 00:00:00,,?,,,1920-35,"Newark, New Jersey",,US Aerial Mail Service,,,Washington - Newark,,,planecrashinfo,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.,De Havilland DH-4
65,,,,,,1920-03-10 00:00:00,,?,,,1920-34,"New Paris, Indiana",,US Aerial Mail Service,,,?,,,planecrashinfo,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area.",De Havilland DH-4
77,,,,,,1919-10-30 00:00:00,,?,,,1920-32,"Long Valley, New Jersey",,US Aerial Mail Service,,,?,,,planecrashinfo,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed.",De Havilland DH.4
G-EAHF,,,,,,1919-12-11 00:00:00,,?,,,1920-33,"Catherham, Surrey, UK",,Aircraft Travel Transport,,,Paris - Hounslow,,,planecrashinfo,Crashed in a field while attemptting to land.,de Havilland DH-4
G-EAHG,,,,,,1919-10-20 00:00:00,,?,,,1920-31,"English Channel off Forkstone, Kent",,Aircraft Transport and Travel,,,?,,,planecrashinfo,Crashed into the sea while attempting to land in fog.,De Havilland DH-4
?,,,,,,1919-10-02 00:00:00,,?,,,1920-29,"Newcastle, England",,Aircraft Transport and Travel,,,?,,,planecrashinfo,?,De Havilland DH-4
32,,,,,,1919-10-14 00:00:00,,?,,,1920-30,"Cantonsville, Maryland",,US Aerial Mail Service,,,?,,,planecrashinfo,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods.",Curtiss R-4LM
?,,,,,,1919-08-02 00:00:00,,?,,,1920-28,"Verona, Italy",,Caproni Company,,,Venice  Taliedo,,,planecrashinfo,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.,Caproni Ca.48
?,,,,,,1919-07-21 16:55:00,,?,,,1920-27,"Chicago, Illinois",,Wingfoot Air Express Goodyear Tire,,,Shuttle,,,planecrashinfo,"The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed",FD Type Dirigible
82,,,,,,1919-07-19 00:00:00,,?,,,1920-26,"Dix Run, Pennsylvania",,US Aerial Mail Service,,,?,,,planecrashinfo,The mail plane crashed under unknown circumstances.,De Havilland DH-4
97,,,,,,1918-12-16 00:00:00,,?,,,1920-24,"Elizabeth, New Jersey",,US Aerial Mail Service,,,?,,,planecrashinfo,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.,De Havilland DH-4
61,,,,,,1919-05-25 00:00:00,,?,,,1920-25,"Cleveland, Ohio",,US Aerial Mail Service,,,?,,,planecrashinfo,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,De Havilland DH-4
?,,,,,,1918-08-11 10:00:00,,?,,,1920-23,"Ameland Island, North Sea",,Military - German Navy,,,?,,,planecrashinfo,Shot down by british aircraft.,Zeppelin L-53 (airship)
?,,,,,,1918-05-10 00:00:00,,?,,,1920-22,"Off Helgoland Island, Germany",,Military - German Navy,,,?,,,planecrashinfo,"Shot down by British aircraft crashing from a height of 17,000 ft.",Zeppelin L-70 (airship)
?,,,,,,1918-04-07 21:30:00,,?,,,1920-21,Over the Mediterranean,,Military - German Navy,,,?,,,planecrashinfo,Exploded and crashed into the sea off the southern coast of Italy.,Zeppelin L-59 (airship)
?,,,,,,1917-10-20 07:45:00,,?,,,1920-20,"Near Luneville, France",,Military - German Navy,,,?,,,planecrashinfo,Shot down by French anti-aircraft fire.,Zeppelin L-44 (airship)
?,,,,,,1917-08-21 07:00:00,,?,,,1920-19,Off western Denmark,,Military - German Navy,,,?,,,planecrashinfo,Shot down by British aircraft.,Zeppelin L-23 (airship)
L-48,,,,,,1917-06-17 00:00:00,,?,,,1920-18,"Near Yarmouth, England",,?,,,?,,,planecrashinfo,Shot down by aircraft.,Zepplin LZ-95 (air ship)
?,,,,,,1917-06-14 08:45:00,,?,,,1920-17,"Off Vlieland Island, North Sea",,Military - German Navy,,,?,,,planecrashinfo,Shot down by British aircraft.,Zeppelin L-43 (airship)
?,,,,,,1917-05-14 05:15:00,,?,,,1920-16,"Near Texel Island, North Sea",,Military - German Navy,,,?,,,planecrashinfo,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.",Zeppelin L-22 (airship)
?,,,,,,1917-03-30 00:00:00,,?,,,1920-15,Off Northern Germany,,Military - German Navy,,,?,,,planecrashinfo,Struck by lightning and crashed into the Baltic Sea.,Schutte-Lanz S-L-9 (airship)
?,,,,,,1917-03-04 00:00:00,,?,,,1920-14,"Near Gent, Belgium",,Military - German Army,,,?,,,planecrashinfo,Caught fire and crashed.,Airship
?,,,,,,1916-11-28 23:45:00,,?,,,1920-13,"Off West Hartlepool, England",,Military - German Navy,,,?,,,planecrashinfo,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.,Zeppelin L-34 (airship)
?,,,,,,1916-11-21 00:00:00,,?,,,1920-12,"Mainz, Germany",,Military - German Army,,,?,,,planecrashinfo,Crashed in a storm.,Super Zeppelin (airship)
?,,,,,,1916-10-01 23:45:00,,?,,,1920-11,"Potters Bar, England",,Military - German Navy,,,?,,,planecrashinfo,Shot down in flames by the British 39th Home Defence Squadron.,Zeppelin L-31 (airship)
?,,,,,,1916-09-24 01:00:00,,?,,,1920-10,"Billericay, England",,Military - German Navy,,,?,,,planecrashinfo,Shot down by British aircraft crashing in flames.,Zeppelin L-32 (airship)
?,,,,,,1916-07-28 00:00:00,,?,,,1920-9,"Near Jambol, Bulgeria",,Military - German Army,,,?,,,planecrashinfo,"Crashed near the Black Sea, cause unknown.",Schutte-Lanz S-L-10 (airship)
?,,,,,,1915-09-03 15:20:00,,?,,,1920-8,"Off Cuxhaven, Germany",,Military - German Navy,,,?,,,planecrashinfo,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.",Zeppelin L-10 (airship)
?,,,,,,1915-03-05 01:00:00,,?,,,1920-7,"Tienen, Belgium",,Military - German Navy,,,?,,,planecrashinfo,Crashed into trees while attempting to land after being shot down by British and French aircraft.,Zeppelin L-8 (airship)
?,,,,,,1913-10-17 10:30:00,,?,,,1920-6,"Near Johannisthal, Germany",,Military - German Navy,,,?,,,planecrashinfo,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..",Zeppelin L-2 (airship)
